Project Number,Project Name,Contract Date (YYYY-MM-DD),Delivery Date (YYYY-MM-DD),Days Late (number),Late Delivery Reason,Delay Responsibility (not_applicable|client_fault|nomad_fault|vendor_fault),Percent Complete,Contract Extensions (number)
803533,803533_NY_DHSES RAMER_TCT-C_01,10/1/2024,12/4/2024,64,Impacted by Colts / wrong roof type spec'd in sales,Nomad,100,1
804614,804614_NY_DHSES RAMER_TCT-C_02,10/1/2024,12/4/2024,64,Impacted by Colts / wrong roof type spec'd in sales,Nomad,100,1
804904,804904_ID_MoPOC_Van_16,11/25/2024,12/5/2024,10,"Powered step retrofit. We did not purchase the correct step, then couldn't find a good alternative and ended up retrofitting the OEM step.",Nomad,100,0
804903,804903_ID_MoPOC_Van_15,12/12/2024,12/13/2024,1,"Powered step retrofit. We did not purchase the correct step, then couldn't find a good alternative and ended up retrofitting the OEM step.",Nomad,100,0
804664,804664_ID_MoPOC_Van_14,12/12/2024,12/11/2024,-1,,On Time,100,0
804906,804906_ID_MoPOC_Van_18,12/29/2024,12/20/2024,-9,,On Time,100,0
800812,800812_DC_DCWater_CCTV_1,1/31/2025,1/3/2025,-28,,On Time,100,0
803913,803913_AL_GAN-REDSTONE_ECTM_01,1/25/2025,1/8/2025,-17,,On Time,100,0
804469,804469_INT_USAF_48MXG_R30,9/25/2025,1/21/2025,-247,,On Time,100,0
804082,804082_DC_DepartmentOfState_Moldova_IC20As0,2/16/2024,1/15/2025,334,Late Chassis Arrival,Vendor,100,4
804572,804572_MD_FEMA_MCOV_18,9/29/2024,1/17/2025,110,Vibration/wheel issue,Vendor,100,2
804538,804538_AL_GaN_MOSAIC_Backend_01,9/13/2024,1/17/2025,126,Production Delays ,Nomad,100,0
804539,804539_AL_GaN_MOSAIC_Backend_02,10/18/2024,1/17/2025,91,Production Delays ,Nomad,100,0
804485,804485_TX_TMobile_SatCOLT_03,2/13/2024,1/21/2025,343,Under bid project duration (365 ARO),Nomad,100,0
804198,804198_AL_RedstoneTestCenter_TCV-MAX,1/24/2025,1/22/2025,-2,,On Time,100,0
804215,804215_OK_VerizonMERIT_IC20As0,3/15/2025,2/5/2025,-38,,On Time,100,0
804936,804936_VA_BlueHalo_PHEL_MobileSupport,3/21/2025,3/3/2025,-18,,On Time,100,0
804088,804088_VA_BlueHalo_PHEL_CleanRoom,3/21/2025,3/3/2025,-18,,On Time,100,0
804543,804543_AL_GaN_MOSAIC_Power,9/17/2024,3/17/2025,181,Production Delays ,Nomad,100,0
804186,804186_AL_GaN_MOSAIC_C2,9/17/2024,3/17/2025,181,Production Delays ,Nomad,100,0
804830,804830_TX_GDIT_Raven3_Defender,4/29/2025,3/25/2025,-35,,On Time,100,0
804510,804510_TX_GDIT_TCVMAX,4/29/2025,3/25/2025,-35,,On Time,100,0
804452,804452_FL_SeminoleTribe_TCV-Max,9/20/2025,3/28/2025,-176,,On Time,100,0
804573,804573_MD_FEMA_MCOV_19,9/29/2024,4/17/2025,200,vibration/wheel issue,Vendor,100,2
803863,803863_CA_EdwardsAFB_D20,8/30/2024,4/18/2025,231,Production Delays ,Nomad,100,5
804810,804810_MD_VA_MVCs_Sprinter_02,3/25/2025,4/24/2025,30,Production Delays ,Nomad,100,0
804811,804811_MD_VA_MVCs_Sprinter_03,3/25/2025,4/24/2025,30,Production Delays ,Nomad,100,0
804812,804812_MD_VA_MVCs_Sprinter_04,3/25/2025,4/24/2025,30,Production Delays ,Nomad,100,0
804708,804708_MD_VA_MVCs_Sprinter_01,3/25/2025,4/24/2025,30,Production Delays ,Nomad,100,0
804652,804652_AL_ADS_USACE_IC34As4_02,1/17/2025,4/30/2025,103,"Production Delays, issue in route",Nomad,100,0
804887,804887_CA_CityOfMonterey_Sprinter,5/23/2025,4/29/2025,-24,,On Time,100,0
804884,804884_TX_TexasA&M-CC_Sprinter,4/17/2025,5/14/2025,27,Failed to start on time due to schedule conflicts from past projects,Nomad,100,0
804815,804815_MD_VA_MVC_Sprinter_07,3/25/2025,5/20/2025,56,"OEM Part delays, ENG on ADA Lift",Nomad,100,0
805387,805387_OK_Verizon_Upfit,3/30/2025,5/20/2025,51,"ENG Delays, Bumper Damaged by Nomad",Nomad,100,0
804666,804666_OK_OKC-PD_IC32As0,2/6/2025,5/28/2025,111,Production Delays,Nomad,100,0
804653,804653_AL_ADS_USACE_IC34As4_03,1/17/2025,5/28/2025,131,Production Delays,Nomad,100,0
804814,804814_MD_VA_MVCs_Sprinter_06,3/25/2025,5/28/2025,64,"OEM Part delays, ENG on ADA Lift",Nomad,100,0
804816,804816_MD_VA_MVCs_Sprinter_08,3/25/2025,5/28/2025,64,"OEM Part delays, ENG on ADA Lift",Nomad,100,0
,,,,,,,,
